,X,Y,Class
0,1978,91.42,True
1,1979,91.42,True
2,1980,61.4,True
3,1981,80.17,True
4,1982,69.46,True
5,1983,77.11,True
6,1984,52.69,True
7,1985,52.46,True
8,1986,58.1,True
9,1987,60.79,True
10,1988,63.8,True
11,1989,61.59,True
12,1990,63.57,True
13,1991,76.25,True
14,1992,95.64,True
15,1993,106.36,True
16,1994,84.86,True
17,1995,84.31,True
18,1996,83.05,True
19,1997,77.56,True
20,1998,75.28,True
21,1999,72.91,True
22,2000,74.6,True
23,2001,92.1,True
24,2002,98.67,True
25,2003,102.04,True
26,2004,112.47,True
27,2005,115.25,True
28,2006,121.46,True
29,2007,141.95,True
30,2008,156.03,True
31,2009,165.95,True
32,2010,185.59,True
33,2011,193.95,True
34,2012,197.04,True
35,2013,202.93,True
36,2014,209.39,True
37,2015,213.47,True
38,2016,218.7,True
39,2017,226.49,True
40,2018,228.81,True
41,2019,234.52,True
42,2020,247.92,True
43,1978,90.50059591601249,Pred
44,1979,90.50059591601249,Pred
45,1980,62.29079004030831,Pred
46,1981,81.65617261393506,Pred
47,1982,72.34934572844534,Pred
48,1983,72.34934572844534,Pred
49,1984,54.13785605660589,Pred
50,1985,54.13785605660589,Pred
51,1986,54.13785605660589,Pred
52,1987,62.4972707396163,Pred
53,1988,62.4972707396163,Pred
54,1989,62.4972707396163,Pred
55,1990,80.4936114704709,Pred
56,1991,80.4936114704709,Pred
57,1992,80.4936114704709,Pred
58,1993,89.42833458930671,Pred
59,1994,89.42833458930671,Pred
60,1995,89.42833458930671,Pred
61,1996,79.39074328655121,Pred
62,1997,79.39074328655121,Pred
63,1998,79.39074328655121,Pred
64,1999,80.33371665313292,Pred
65,2000,80.33371665313292,Pred
66,2001,80.33371665313292,Pred
67,2002,105.29865100047259,Pred
68,2003,105.29865100047259,Pred
69,2004,105.29865100047259,Pred
70,2005,126.19719227266957,Pred
71,2006,126.19719227266957,Pred
72,2007,126.19719227266957,Pred
73,2008,165.94981246563907,Pred
74,2009,165.94981246563907,Pred
75,2010,165.94981246563907,Pred
76,2011,197.62433128099784,Pred
77,2012,197.62433128099784,Pred
78,2013,197.62433128099784,Pred
79,2014,214.18968954726475,Pred
80,2015,214.18968954726475,Pred
81,2016,214.18968954726475,Pred
82,2017,229.15362215656384,Pred
83,2018,229.15362215656384,Pred
84,2019,229.15362215656384,Pred
85,2020,247.0742137506337,Pred
86,2021,247.0742137506337,Pred
87,2022,247.0742137506337,Pred
88,2023,247.0742137506337,Pred
89,2024,247.0742137506337,Pred
90,2025,247.0742137506337,Pred
91,2026,247.0742137506337,Pred
