,X,Y,Class
0,1978,523.92,True
1,1979,492.17,True
2,1980,501.45,True
3,1981,480.27,True
4,1982,485.01,True
5,1983,490.07,True
6,1984,519.32,True
7,1985,548.56,True
8,1986,558.37,True
9,1987,546.77,True
10,1988,500.86,True
11,1989,482.68,True
12,1990,505.88,True
13,1991,534.61,True
14,1992,573.8,True
15,1993,567.72,True
16,1994,585.28,True
17,1995,646.82,True
18,1996,690.25,True
19,1997,699.12,True
20,1998,695.88,True
21,1999,761.77,True
22,2000,848.81,True
23,2001,906.9,True
24,2002,971.95,True
25,2003,1002.12,True
26,2004,1020.08,True
27,2005,1034.39,True
28,2006,1066.78,True
29,2007,1108.78,True
30,2008,1135.04,True
31,2009,1114.62,True
32,2010,1102.64,True
33,2011,1056.61,True
34,2012,1027.23,True
35,2013,1011.5,True
36,2014,1004.34,True
37,2015,990.2,True
38,2016,990.27,True
39,2017,1007.26,True
40,2018,1021.82,True
41,2019,1032.49,True
42,2020,1031.81,True
43,1978,510.97067826858284,Pred
44,1979,510.97067826858284,Pred
45,1980,501.08512481636365,Pred
46,1981,479.8369210632563,Pred
47,1982,487.36073252167415,Pred
48,1983,487.36073252167415,Pred
49,1984,543.6710678675857,Pred
50,1985,543.6710678675857,Pred
51,1986,543.6710678675857,Pred
52,1987,504.85706375167274,Pred
53,1988,504.85706375167274,Pred
54,1989,504.85706375167274,Pred
55,1990,543.6846538882655,Pred
56,1991,543.6846538882655,Pred
57,1992,543.6846538882655,Pred
58,1993,596.8879314454181,Pred
59,1994,596.8879314454181,Pred
60,1995,596.8879314454181,Pred
61,1996,691.0778806890058,Pred
62,1997,691.0778806890058,Pred
63,1998,691.0778806890058,Pred
64,1999,844.7702148725555,Pred
65,2000,844.7702148725555,Pred
66,2001,844.7702148725555,Pred
67,2002,1004.9054843906802,Pred
68,2003,1004.9054843906802,Pred
69,2004,1004.9054843906802,Pred
70,2005,1070.7147976519177,Pred
71,2006,1070.7147976519177,Pred
72,2007,1070.7147976519177,Pred
73,2008,1116.6285978907533,Pred
74,2009,1116.6285978907533,Pred
75,2010,1116.6285978907533,Pred
76,2011,1031.2439025197284,Pred
77,2012,1031.2439025197284,Pred
78,2013,1031.2439025197284,Pred
79,2014,994.3469908941055,Pred
80,2015,994.3469908941055,Pred
81,2016,994.3469908941055,Pred
82,2017,1020.6946915686093,Pred
83,2018,1020.6946915686093,Pred
84,2019,1020.6946915686093,Pred
85,2020,1030.3285381056646,Pred
86,2021,1030.3285381056646,Pred
87,2022,1030.3285381056646,Pred
88,2023,1030.3285381056646,Pred
89,2024,1030.3285381056646,Pred
90,2025,1030.3285381056646,Pred
91,2026,1030.3285381056646,Pred
